sig,n,m,numcol,chi
@,1,0,1,1
A?,2,0,2,1
A_,2,1,1,2
B?,3,0,5,1
BG,3,1,3,2
BW,3,2,2,2
Bw,3,3,1,3
C?,4,0,15,1
C@,4,1,10,2
CB,4,2,7,2
C`,4,2,7,2
CF,4,3,5,2
CR,4,3,5,2
Cr,4,4,4,2
C^,4,5,2,3
C~,4,6,1,4
D??,5,0,52,1
D?C,5,1,37,2
DGC,5,2,27,2
D?K,5,2,27,2
DAK,5,3,20,2
D@o,5,3,20,2
D?[,5,3,20,2
DIK,5,4,16,2
DBw,5,5,12,2
DFw,5,6,10,2
Dr[,5,7,6,3
Dr{,5,8,4,3
D^{,5,9,2,4
D~{,5,10,1,5
E???,6,0,203,1
E??G,6,1,151,2
E@?G,6,2,114,2
E??W,6,2,114,2
E?D_,6,3,87,2
E??w,6,3,87,2
E?GW,6,3,87,2
E`?G,6,3,87,2
E@GW,6,4,70,2
E`GW,6,5,54,2
E?Lo,6,5,54,2
E?\o,6,6,45,2
EC\o,6,7,35,2
E?^o,6,7,35,2
E?~o,6,8,30,2
Es\o,6,9,25,2
Es\w,6,10,15,3
ER~o,6,11,10,3
EFzw,6,11,10,3
E}lw,6,12,8,3
Er~w,6,13,4,4
E^~w,6,14,2,5
E~~w,6,15,1,6
F????,7,0,877,1
F???G,7,1,674,2
F???W,7,2,523,2
F?C?G,7,2,523,2
FGC?G,7,3,409,2
F???w,7,3,409,2
F??H_,7,3,409,2
F??OW,7,3,409,2
F?COW,7,4,332,2
F??Xo,7,5,262,2
FGCOW,7,5,262,2
F??xo,7,6,219,2
F_?xo,7,7,174,2
F??zo,7,7,174,2
F?Oxo,7,7,174,2
F?@zo,7,8,149,2
FIOxo,7,9,125,2
F?B~o,7,10,104,2
FIQ|o,7,11,85,2
F?~v_,7,12,75,2
F@~v_,7,13,50,3
Fs\rw,7,14,35,3
F}oxw,7,14,35,3
Fs\vw,7,15,25,3
F]qzw,7,15,25,3
FF~vW,7,16,20,3
F}lzw,7,17,12,4
F}l~w,7,18,8,4
Fr~~w,7,19,4,5
F^~~w,7,20,2,6
F~~~w,7,21,1,7
G?????,8,0,4140,1
G????C,8,1,3263,2
G????K,8,2,2589,2
G??G?C,8,2,2589,2
G???Go,8,3,2066,2
G???OK,8,3,2066,2
G@?G?C,8,3,2066,2
G????[,8,3,2066,2
G??GOK,8,4,1694,2
G???Ww,8,5,1362,2
G@?GOK,8,5,1362,2
G???ww,8,6,1144,2
G???xw,8,7,925,2
G??_ww,8,7,925,2
GG??ww,8,7,925,2
G??@xw,8,8,793,2
G@G_ww,8,9,670,2
G??Bzw,8,10,562,2
G@Gayw,8,11,465,2
G?@zro,8,12,410,2
G?@zvo,8,13,335,2
G?`zro,8,13,335,2
G?@~vo,8,14,290,2
G?B~vo,8,15,260,2
Gs`zro,8,16,225,2
G]r@x{,8,17,150,3
G?~~fc,8,18,105,3
G?~vfk,8,18,105,3
Gs\zrk,8,19,80,3
Gs\r~w,8,20,60,3
G?~~vk,8,20,60,3
Gs\v~w,8,21,50,3
Gs~rz{,8,22,30,4
GR~~vk,8,23,20,4
GF~v^{,8,23,20,4
G~z\z{,8,24,16,4
G}l~~{,8,25,8,5
Gr~~~{,8,26,4,6
G^~~~{,8,27,2,7
G~~~~{,8,28,1,8
H??????,9,0,21147,1
H?????@,9,1,17007,2
H???G?@,9,2,13744,2
H?????B,9,2,13744,2
H????GB,9,3,11155,2
H????CK,9,3,11155,2
H?????F,9,3,11155,2
H?C?G?@,9,3,11155,2
H???GGB,9,4,9240,2
H?C?GGB,9,5,7546,2
H????KM,9,5,7546,2
H????[M,9,6,6375,2
H????[],9,7,5231,2
H???_[M,9,7,5231,2
H@???[M,9,7,5231,2
H????{],9,8,4496,2
H?CO_[M,9,9,3825,2
H???@{},9,10,3232,2
H?CO`[m,9,11,2704,2
H??@xw{,9,12,2385,2
H?@@xw{,9,13,1975,2
H_?@xw{,9,13,1975,2
H??@xx{,9,13,1975,2
H???F~},9,14,1754,2
H??Bzx{,9,15,1535,2
HIP@xw{,9,16,1335,2
H??B~z{,9,17,1119,2
H??F~z{,9,18,1015,2
HIPD|y{,9,19,855,2
H?B~vrw,9,20,780,2
H?F~vrw,9,21,555,3
H?~vf_~,9,22,405,3
Hs`zzpx,9,22,405,3
H]r@x~{,9,23,300,3
Hs`zrxz,9,23,300,3
Hs`zrp~,9,23,300,3
Hs`zzxz,9,24,240,3
H?~vfn},9,25,180,3
H?~vf~},9,26,150,3
H}q|r|},9,27,125,3
H}q|r|~,9,28,75,4
H]r~t|~,9,29,50,4
Hs\v~z~,9,29,50,4
HF~~vnn,9,30,40,4
H~z\z|~,9,31,24,5
H~z\z~~,9,32,16,5
H}l~~~~,9,33,8,6
Hr~~~~~,9,34,4,7
H^~~~~~,9,35,2,8
H~~~~~~,9,36,1,9
