sig,n,m,eci,d,diam
A_,2,1,2,1,1
BW,3,2,6,2,2
Bw,3,3,6,1,1
CR,4,3,14,3,3
Cr,4,4,16,2,2
C^,4,5,14,2,2
C~,4,6,12,1,1
DDW,5,4,24,4,4
D`[,5,5,25,3,3
DJk,5,6,27,3,3
Dr[,5,7,28,2,2
Dr{,5,8,28,2,2
D^{,5,9,24,2,2
D~{,5,10,20,1,1
E@hO,6,5,38,5,5
E@po,6,6,39,4,4
E`LW,6,7,42,4,4
E`Lw,6,8,42,3,3
E`\w,6,9,43,3,3
EJ]w,6,10,44,3,3
ET\w,6,10,44,3,3
ER~o,6,11,44,2,2
Er\w,6,11,44,2,2
Et\w,6,11,44,2,2
E}lw,6,12,48,2,2
Er~w,6,13,42,2,2
E^~w,6,14,36,2,2
E~~w,6,15,30,1,1
F@IQO,7,6,54,6,6
F@`J_,7,7,57,5,5
FgCXW,7,8,62,5,5
FWCYw,7,9,62,4,4
FgCxw,7,10,64,4,4
F`Kyw,7,11,66,4,4
F`Kzw,7,12,65,3,3
F`Lzw,7,13,65,3,3
F`\zw,7,14,65,3,3
FJ]|w,7,15,65,3,3
FJ\|w,7,15,65,3,3
Fr\zw,7,16,64,2,2
FF~vW,7,16,64,2,2
FMn~o,7,16,64,2,2
F\^]w,7,16,64,2,2
F]\|w,7,16,64,2,2
Fj]|w,7,16,64,2,2
F}lzw,7,17,68,2,2
F}l~w,7,18,66,2,2
Fr~~w,7,19,58,2,2
F^~~w,7,20,50,2,2
F~~~w,7,21,42,1,1
G@GQSG,8,7,74,7,7
G@_IJ_,8,8,77,6,6
Gh?GWk,8,9,84,6,6
GL?GY[,8,10,86,5,5
Gh?Gw{,8,11,90,5,5
GWCWy[,8,12,94,5,5
GWCWy{,8,13,93,4,4
GgCXx{,8,14,94,4,4
GgCxx{,8,15,95,4,4
G`Kxy{,8,16,96,4,4
G`Kxz{,8,17,94,3,3
G`Kzz{,8,18,93,3,3
G`Lzz{,8,19,92,3,3
G`\zz{,8,20,91,3,3
GJ\z|{,8,21,90,3,3
GTlzz{,8,21,90,3,3
GJ\||{,8,21,90,3,3
G{uzz{,8,22,88,2,2
GF~vZ{,8,22,88,2,2
Gs~rz{,8,22,88,2,2
G`~~vk,8,22,88,2,2
Gq~tz{,8,22,88,2,2
GMn~r{,8,22,88,2,2
Gru~Z{,8,22,88,2,2
Gulzz{,8,22,88,2,2
GlnZz{,8,22,88,2,2
Gfyzz{,8,22,88,2,2
GT\~~w,8,22,88,2,2
G]\z|{,8,22,88,2,2
Gr\zz{,8,22,88,2,2
Gj\||{,8,22,88,2,2
Gtlzz{,8,22,88,2,2
G}lzz{,8,23,92,2,2
Gt\~~w,8,23,92,2,2
GR~~vk,8,23,92,2,2
G~z\z{,8,24,96,2,2
G}l~~{,8,25,86,2,2
Gr~~~{,8,26,76,2,2
G^~~~{,8,27,66,2,2
G~~~~{,8,28,56,1,1
H@GOQIA,9,8,96,8,8
H@_GIDo,9,9,101,7,7
HhC?GKJ,9,10,110,7,7
HHc?GLF,9,11,112,6,6
HhC?G[N,9,12,118,6,6
HR?GW\F,9,13,124,6,6
HR?GW\N,9,14,125,5,5
HY?GW{^,9,15,128,5,5
Hh?Gw{^,9,16,131,5,5
HWCWw|N,9,17,134,5,5
HWCWw|^,9,18,132,4,4
HgCWx{~,9,19,132,4,4
HgCXx{~,9,20,132,4,4
HgCxx{~,9,21,132,4,4
H`Kxx|^,9,22,132,4,4
H`Kxx|~,9,23,129,3,3
H`Kxz|~,9,24,127,3,3
H`Kzz|~,9,25,125,3,3
H`Lzz|~,9,26,123,3,3
H`\zz|~,9,27,121,3,3
HJ\z|}~,9,28,119,3,3
HJ\||}~,9,28,119,3,3
HJ\zz}~,9,28,119,3,3
HVyzz~^,9,29,116,2,2
H^rm||~,9,29,116,2,2
Hym}z|~,9,29,116,2,2
Hi~t||~,9,29,116,2,2
Hq~tz|~,9,29,116,2,2
HBz~~zz,9,29,116,2,2
HF~vZ|~,9,29,116,2,2
HD^~~zz,9,29,116,2,2
H}q|z|~,9,29,116,2,2
H]r~t|~,9,29,116,2,2
Hs~rz|~,9,29,116,2,2
HtzZz|~,9,29,116,2,2
H]\zz}~,9,29,116,2,2
Hr\zz|~,9,29,116,2,2
Hj\z|}~,9,29,116,2,2
Hj\||}~,9,29,116,2,2
H{f~r|~,9,29,116,2,2
H`~~vl~,9,29,116,2,2
HMn~r|~,9,29,116,2,2
Htlzz~^,9,29,116,2,2
HJz\~~},9,29,116,2,2
H\lz}~^,9,29,116,2,2
HlnZz|~,9,29,116,2,2
Hfyzz|~,9,29,116,2,2
H]\z|}~,9,29,116,2,2
Hdlz~~},9,29,116,2,2
Hulzz|~,9,29,116,2,2
Hru~Z|~,9,29,116,2,2
Hh~u||~,9,29,116,2,2
Hrr~t|~,9,29,116,2,2
H}j\z|~,9,29,116,2,2
Hjz\||~,9,29,116,2,2
HqN~~zz,9,29,116,2,2
H}u|z|~,9,30,120,2,2
HMn~~zz,9,30,120,2,2
H}\z|}~,9,30,120,2,2
HF~~vnn,9,30,120,2,2
H}lzz|~,9,30,120,2,2
H^zZz}~,9,30,120,2,2
H\^]~~},9,30,120,2,2
H~z\z|~,9,31,124,2,2
H~z\z~~,9,32,120,2,2
H}l~~~~,9,33,108,2,2
Hr~~~~~,9,34,96,2,2
H^~~~~~,9,35,84,2,2
H~~~~~~,9,36,72,1,1
